[dr_ap];[DR_AP];false;false;false;apoth;dram,drachm;;mass;[sc_ap];[SC_AP];3;;
[oz_ap];[OZ_AP];false;false;false;apoth;ounce;;mass;[dr_ap];[DR_AP];8;;
[lb_ap];[LB_AP];false;false;false;apoth;pound;;mass;[oz_ap];[OZ_AP];12;;
[oz_m];[OZ_M];false;false;false;apoth;metric ounce;;mass;g;g;28;;
[lne];[LNE];false;false;false;typeset;line;;length;[in_i]/12;[IN_I]/12;1;;
[pnt];[PNT];false;false;false;typeset;point;;length;[lne]/6;[LNE]/6;1;;
[pca];[PCA];false;false;false;typeset;pica;;length;[pnt];[PNT];12;;
[pnt_pr];[PNT_PR];false;false;false;typeset;Printer's point;;length;[in_i];[IN_I];0.013837;;
[pca_pr];[PCA_PR];false;false;false;typeset;Printer's pica;;length;[pnt_pr];[PNT_PR];12;;
[pied];[PIED];false;false;false;typeset;pied,French foot;;length;cm;CM;32.48;;
[pouce];[POUCE];false;false;false;typeset;pouce,French inch;;length;[pied]/12;[PIED]/12;1;;
[ligne];[LIGNE];false;false;false;typeset;ligne,French line;;length;[pouce]/12;[POUCE]/12;1;;
[didot];[DIDOT];false;false;false;typeset;didot,Didot's point;;length;[ligne]/6;[LIGNE]/6;1;;
[cicero];[CICERO];false;false;false;typeset;cicero,Didot's pica;;length;[didot];[DIDOT];12;;
[degF];[DEGF];false;true;false;heat;degree Fahrenheit;°F;temperature;degf(5 K/9);DEGF(5 K/9);5;degF;K/9
[degR];[degR];false;false;false;heat;degree Rankine;°R;temperature;K/9;K/9;5;;
[degRe];[degRe];false;true;false;heat;degree Réaumur;°Ré;temperature;degre(5 K/4);DEGRE(5 K/4);5;degRe;K/4
cal_[15];CAL_[15];true;false;false;heat;calorie at 15 °C;cal<sub>15°C</sub>;energy;J;J;4.18580;;
cal_[20];CAL_[20];true;false;false;heat;calorie at 20 °C;cal<sub>20°C</sub>;energy;J;J;4.18190;;
cal_m;CAL_M;true;false;false;heat;mean calorie;cal<sub>m</sub>;energy;J;J;4.19002;;
cal_IT;CAL_IT;true;false;false;heat;international table calorie;cal<sub>IT</sub>;energy;J;J;4.1868;;
cal_th;CAL_TH;true;false;false;heat;thermochemical calorie;cal<sub>th</sub>;energy;J;J;4.184;;
cal;CAL;true;false;false;heat;calorie;cal;energy;cal_th;CAL_TH;1;;
[Cal];[CAL];false;false;false;heat;nutrition label Calories;Cal;energy;kcal_th;KCAL_TH;1;;
[Btu_39];[BTU_39];false;false;false;heat;British thermal unit at 39 °F;Btu<sub>39°F</sub>;energy;kJ;kJ;1.05967;;
[Btu_59];[BTU_59];false;false;false;heat;British thermal unit at 59 °F;Btu<sub>59°F</sub>;energy;kJ;kJ;1.05480;;
[Btu_60];[BTU_60];false;false;false;heat;British thermal unit at 60 °F;Btu<sub>60°F</sub>;energy;kJ;kJ;1.05468;;
[Btu_m];[BTU_M];false;false;false;heat;mean British thermal unit;Btu<sub>m</sub>;energy;kJ;kJ;1.05587;;
[Btu_IT];[BTU_IT];false;false;false;heat;international table British thermal unit;Btu<sub>IT</sub>;energy;kJ;kJ;1.05505585262;;
